412,-1.60001
413,-0.600006
414,-7.20001
415,2
416,-2.60001
417,-5.60001
418,-1.20001
419,2
420,2
421,2.20001
422,-1.60001
423,-2.39999
424,4
425,5.79999
426,3.20001
427,-1.20001
428,0.399994
429,1.20001
430,-4.39999
431,-6.39999
432,-3
433,1.79999
434,-0.399994
435,0
436,1.20001
437,4.39999
438,-5.39999
439,-6.79999
440,-0.399994
441,0
442,2.20001
443,-0.600006
444,-0.200012
445,-2.60001
446,-4.79999
447,-3.39999
448,-0.799988
449,0.399994
450,-4.20001
451,0.399994
452,-0.200012
453,-0.200012
454,6.39999
455,0
456,-0.799988
457,5.20001
458,-0.600006
459,6.39999
460,1.60001
461,2.39999
462,3.39999
463,0
464,-2.39999
465,-1.60001
466,-2.20001
467,-3
468,-3
469,-0.600006
470,-5.20001
471,-1.79999
472,-4
473,-0.600006
474,-0.200012
475,-2.60001
476,1.20001
477,-2.20001
478,4.20001
479,2
480,0.799988
481,-2.79999
482,0.399994
483,0.399994
484,1.39999
485,-2.79999
486,0
487,0.799988
488,6.20001
489,3.79999
490,-0.399994
491,-3.39999
492,-3.20001
493,1.60001
494,2.60001
495,1.39999
496,2
497,-5.79999
498,3.20001
499,4.20001
500,-3.60001
501,6.20001
502,2.60001
503,-2.39999
504,-4.60001
505,0.799988
506,2.60001
507,3.60001
508,3.79999
509,-0.200012
510,5.60001
511,-1.20001
512,2.39999
513,-2.79999
514,0.799988
515,-3
516,-6.39999
517,-1.60001
518,4
519,0.200012
520,-0.399994
521,-1.39999
522,-4.60001
523,4
524,2
525,0.799988
526,-1.60001
527,-4.39999
528,-4
529,-1
530,6.60001
531,0.200012
532,-6.60001
533,2.20001
534,-3.20001
535,-7.60001
536,0.200012
537,5.60001
538,-3
539,6.79999
540,0.399994
541,0.200012
542,-4.39999
543,-4
544,3.39999
545,-1
546,9
547,3.60001
548,-3
549,-2.60001
550,2.60001
551,1.60001
552,-0.200012
553,5
554,1
555,2.20001
556,2.20001
557,-3
558,-0.799988
559,-3.79999
560,-3.39999
561,4.39999
562,-4.60001
563,0.600006
564,2.20001
565,-3.60001
566,-2.79999
567,-0.799988
568,-3.39999
569,0.399994
570,3.20001
571,6.39999
572,-4.60001
573,-3
574,4.39999
575,-3.20001
576,5.79999
577,1.20001
578,-5.79999
579,0.799988
580,0.200012
581,-2
582,1.60001
583,0
584,0.799988
585,-3.60001
586,1.20001
587,1.79999
588,-6.20001
589,1.60001
590,0.399994
591,1.60001
592,2.39999
593,-4.20001
594,-3.60001
595,-0.799988
596,-0.200012
597,-3.39999
598,4.60001
599,-2
600,-3.79999
601,5.20001
602,-1.79999
603,7.20001
604,-2.20001
605,2
606,-2
607,-1
608,-0.799988
609,-2.60001
610,-0.600006
611,6.20001
612,0.799988
613,1.20001
614,2.60001
615,-1.79999
616,-2.20001
617,0.799988
618,6.20001
619,2.39999
620,-0.799988
621,-4.39999
622,1.39999
623,-0.200012
624,-2.79999
625,-2.39999
626,10
627,2.60001
628,3
629,2.79999
630,-5
631,3.39999
632,2.60001
633,3.60001
634,3.39999
635,-7.60001
636,1
637,1.79999
638,1.20001
639,2.79999
640,1
641,-1.20001
642,-7.39999
643,1.39999
644,-8
645,-1
646,-4
647,-6.60001
648,0.200012
649,1.39999
650,-3.79999
651,1.39999
652,-5
653,5.39999
654,9.20001
655,3.60001
656,-0.200012
657,0.200012
658,5.20001
659,-3.79999
660,-2.60001
661,0.399994
662,-0.600006
663,0.200012
664,3.39999
665,6
666,-1.20001
667,-0.399994
668,-1.79999
669,-4.20001
670,0.399994
671,-7.79999
672,0.600006
673,3.60001
674,-2.20001
675,3.20001
676,-1
677,-2.39999
678,3.39999
679,2.60001
680,-6.39999
681,3.60001
682,-0.600006
683,0
684,-3.20001
685,0.399994
686,3
687,4.39999
688,2.39999
689,-2.60001
690,-3.79999
691,-3.60001
692,-2.60001
693,-2
694,-1.79999
695,1.20001
696,-8.79999
697,1.20001
698,-2.79999
699,1.79999
700,-5.79999
701,-3
702,-4
703,4
704,1.79999
705,-4.79999
706,2.20001
707,1.20001
708,-3.20001
709,4.60001
710,-2.39999
711,-2
712,6.20001
713,2.20001
714,-0.200012
715,2.60001
716,-0.399994
717,5.20001
718,-4.20001
719,2.60001
720,3
721,0
722,3.20001
723,3.20001
724,-2.39999
725,4.39999
726,-0.799988
727,-0.200012
728,-5.39999
729,-0.600006
730,6
731,-2.39999
732,-0.399994
733,-1.60001
734,-5.79999
735,4
736,-2.60001
737,4.20001
738,-5.79999
739,0.600006
740,0
741,2.60001
742,1.60001
743,-7.60001
744,-5.79999
745,-0.200012
746,-2.60001
747,5.60001
748,-6
749,6.20001
750,-2.60001
751,-1.39999
752,1.39999
753,1.20001
754,-5.79999
755,-2.20001
756,-2.60001
757,-5.20001
758,4.79999
759,4.79999
760,-1.60001
761,-1.39999
762,-0.799988
763,4.60001
764,-1
765,0.799988
766,2.20001
767,-1.20001
768,-1.39999
769,-3
770,-3.39999
771,2.60001
772,6
773,7
774,-4.60001
775,2.79999
776,-2.39999
777,0.600006
778,0.600006
779,2.79999
780,0.200012
781,9.60001
782,4.39999
783,4.39999
784,0.200012
785,-3.79999
786,0
787,-1
788,2.20001
789,1.20001
790,1.60001
791,-2
792,-5.79999
793,3.60001
794,-2.79999
795,-1
